entity_type	entity	needs_review	description_source	description_words	empty_description
DISEASE	anal fissure	1	standard	32	0
DISEASE	anal intraepithelial neoplasia (ain iii)	1	standard	22	0
DISEASE	anaphylaxis	1	standard	27	0
DISEASE	anaphylaxis to neuromuscular blocking agents	1	standard	44	0
DISEASE	anaplastic astrocytoma	1	standard	93	0
DISEASE	anaplastic large cell lymphoma	1	standard	37	0
DISEASE	anaplastic large t-cell lymphoma	1	standard	24	0
DISEASE	anastomotic leak	0	standard	39	0
DISEASE	anastomotic ulcer	1	standard	22	0
DISEASE	ancylostomiasis	1	standard	19	0
DISEASE	androgen excess	0	standard	15	0
DISEASE	androgen insensitivity syndrome	0	MONDO	52	0
DISEASE	androgenic alopecia	1	standard	10	0
DISEASE	anemia	1	standard	14	0
DISEASE	anemia due to chronic disorder	1	modified_disease	21	0
DISEASE	anemia due to chronic kidney disease stage 1	1	modified_disease	29	0
DISEASE	anemia of pregnancy	0	corrected_overlay	8	0
DISEASE	anemia of renal insufficiency	1	standard	31	0
DISEASE	anemia, hemolytic, acquired	0	standard	21	0
DISEASE	anemia, sickle cell	0	standard	26	0
DISEASE	anencephaly 1	1	MedGen	52	0
DISEASE	aneurysm	1	standard	43	0
DISEASE	aneurysm-osteoarthritis syndrome	1	MONDO	13	0
DISEASE	angelman syndrome	0	MONDO	13	0
DISEASE	angina pectoris	1	standard	42	0
DISEASE	angina unstable	0	standard	10	0
DISEASE	angioedema	1	standard	22	0
DISEASE	angiofibromas	0	standard	21	0
DISEASE	angioimmunoblastic t-cell lymphoma	1	standard	25	0
DISEASE	angiomyolipoma	1	standard	29	0
DISEASE	angiosarcoma	1	standard	26	0
DISEASE	angle-closure glaucoma	1	standard	29	0
DISEASE	anhaptoglobinemia	0	standard	73	0
DISEASE	ankylosing spondylitis	1	standard	40	0
DISEASE	anogenital pruritus	0	corrected_overlay	15	0
DISEASE	anoperineal fistula	0	standard	14	0
DISEASE	anorchia	0	standard	103	0
DISEASE	anorexia	1	standard	27	0
DISEASE	anorexia in aids	1	standard	96	0
DISEASE	anorexia nervosa, susceptibility to, 1	1	MONDO	16	0
DISEASE	anovulation	1	standard	25	0
DISEASE	anterior uveitis	1	standard	44	0
DISEASE	anterolateral myocardial infarction	1	standard	39	0
DISEASE	anthrax	1	standard	47	0
DISEASE	anthrax disease	0	standard	60	0
DISEASE	anti-neutrophil cytoplasmic antibody-associated vasculitis	1	standard	32	0
DISEASE	anticholinergic syndrome	0	standard	39	0
DISEASE	antiemetic overdose	0	standard	40	0
DISEASE	antimony poisoning syndrome	0	corrected_overlay	8	0
DISEASE	anuria	1	standard	29	0
DISEASE	anxiety	1	standard	16	0
DISEASE	anxiety disorder	1	standard	4	0
DISEASE	anxiety disorder due to a general medical condition	1	modified_disease	35	0
DISEASE	anxiety disorders	0	standard	4	0
DISEASE	anxiety state	0	standard	12	0
DISEASE	aorta coarctation	1	standard	45	0
DISEASE	aortic aneurysm, familial thoracic 4	0	MONDO	22	0
DISEASE	aortic arch interruption	0	standard	51	0
DISEASE	aortic arch interruption, facial palsy, and retinal coloboma	1	MONDO	51	0
DISEASE	aortic valve disease 1	0	MONDO	18	0
DISEASE	aortic valve disease 2	0	MONDO	18	0
DISEASE	aortoiliac occlusive disease	1	standard	26	0
DISEASE	apert syndrome	0	MONDO	28	0
DISEASE	aphthous ulcers	0	standard	51	0
DISEASE	aplasia cutis congenita-intestinal lymphangiectasia syndrome	0	standard	60	0
DISEASE	aplastic anemia	1	standard	18	0
DISEASE	apnea	1	standard	6	0
DISEASE	apnea of prematurity	1	standard	43	0
DISEASE	apolipoprotein c-iii deficiency	1	MONDO	14	0
DISEASE	appendicitis	1	standard	14	0
DISEASE	aquaporin-4 (aqp4) immunoglobulin-positive (aqp4-igg) neuromyelitis optica spectrum disorder (nmosd)	1	modified_disease	39	0
DISEASE	aquarium granuloma	0	standard	19	0
DISEASE	arginase deficiency	0	MONDO	40	0
DISEASE	argininemia	1	standard	70	0
DISEASE	argininosuccinic aciduria	1	standard	70	0
DISEASE	ariboflavinosis	1	standard	35	0
DISEASE	aromatase excess syndrome	0	MONDO	67	0
DISEASE	aromatic l-amino acid decarboxylase (aadc) deficiency with a severe phenotype	1	modified_disease	46	0
DISEASE	aromatic l-amino acid decarboxylase deficiency	1	standard	35	0
DISEASE	arrhythmia	1	standard	32	0
DISEASE	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	1	MedGen	235	0
DISEASE	arrhythmogenic right ventricular dysplasia 8	0	MONDO	19	0
DISEASE	arrhythmogenic right ventricular dysplasia 9	0	MONDO	21	0
DISEASE	arsenic poisoning	0	standard	66	0
DISEASE	arterial tortuosity syndrome	0	MONDO	35	0
DISEASE	arteriosclerosis	1	standard	42	0
DISEASE	arteriosclerosis obliterans	1	standard	38	0
DISEASE	arteriosclerotic parkinsonism	0	corrected_overlay	15	0
DISEASE	arteriovenous hemangioma/malformation	0	modified_disease	22	0
DISEASE	arteriovenous malformations of the brain	1	MedGen	65	0
DISEASE	arthralgia	1	standard	16	0
DISEASE	arthritis	1	standard	6	0
DISEASE	arthritis, gouty	0	standard	51	0
DISEASE	arthritis, psoriatic	0	standard	34	0
DISEASE	arthrogryposis, renal dysfunction, and cholestasis 1	0	MONDO	18	0
DISEASE	arthrogryposis, renal dysfunction, and cholestasis 2	0	MONDO	18	0
DISEASE	articular cartilage defects of knee	0	corrected_overlay	31	0
DISEASE	ascariasis	1	standard	33	0
DISEASE	ascarids	0	corrected_overlay	19	0
DISEASE	ascaris lumbricoides infection	0	standard	56	0
DISEASE	ascaris lumbricoides infection, susceptibility to	1	modified_disease	77	0
DISEASE	ascites	1	standard	10	0
DISEASE	ascorbic acid deficiency	1	standard	66	0
DISEASE	asperger syndrome, susceptibility to, 1	1	MONDO	16	0
DISEASE	asperger syndrome, susceptibility to, 2	1	MONDO	16	0
DISEASE	asperger syndrome, x-linked, susceptibility to, 1	1	MeSH	37	0
DISEASE	aspergillosis	1	standard	7	0
DISEASE	aspiration pneumonia	1	standard	20	0
DISEASE	aspiration pneumonitis	1	standard	13	0
DISEASE	asthma	1	standard	34	0
DISEASE	asthma, nasal polyps, and aspirin intolerance	0	Disease Ontology	12	0
DISEASE	astrocytoma	1	standard	93	0
DISEASE	astrocytoma, anaplastic	1	standard	93	0
DISEASE	asymptomatic human immunodeficiency virus infection	1	modified_disease	25	0
DISEASE	asymptomatic left ventricular dysfunction	0	manual_final7_review	21	0
DISEASE	asymptomatic meningococcal infection	1	modified_disease	15	0
DISEASE	asymptomatic trichomoniasis	1	modified_disease	13	0
DISEASE	ataxia telangiectasia	1	MedGen	87	0
DISEASE	ataxia with myoclonic epilepsy and presenile dementia	1	MedGen	15	0
DISEASE	ataxia, deafness, and cardiomyopathy	1	HPO	27	0
DISEASE	ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	0	MONDO	19	0
DISEASE	ataxia-hypogonadism-choroidal dystrophy syndrome	0	MONDO	78	0
DISEASE	ataxia-pancytopenia syndrome	0	MONDO	76	0
DISEASE	atherosclerosis	1	standard	22	0
DISEASE	atherosclerosis susceptibility	1	MONDO	13	0
DISEASE	atherosclerotic cardiovascular disease	1	curated_standard_definition	31	0
DISEASE	athetosis	1	standard	66	0
DISEASE	atonic seizure	0	standard	39	0
DISEASE	atopic conjunctivitis	1	standard	7	0
DISEASE	atopic dermatitis	1	standard	60	0
DISEASE	atopic eczema	1	standard	60	0
DISEASE	atopic rhinitis	1	standard	54	0
DISEASE	atransferrinemia	0	MONDO	38	0
DISEASE	atrial arrhythmia	0	standard	17	0
DISEASE	atrial fibrillation	1	standard	46	0
DISEASE	atrial fibrillation with embolization	1	standard	41	0
DISEASE	atrial fibrillation, familial, 1	1	MONDO	41	0
DISEASE	atrial fibrillation, familial, 3	0	MONDO	18	0
DISEASE	atrial flutter	1	standard	76	0
DISEASE	atrial septal defect 2	0	MONDO	19	0
DISEASE	atrial septal defect 3	0	MONDO	19	0
DISEASE	atrial septal defect 4	0	MONDO	19	0
DISEASE	atrial septal defect 5	0	MONDO	19	0
DISEASE	atrial septal defect 7	0	MONDO	42	0
