row_index	source_line	entity_type	entity	norm_entity	standard_name	description_source	description_words
219	8665	DRUG	Aluminium	aluminium	Aluminium	PubChem	5
220	8381	DRUG	Aluminium clofibrate	aluminium clofibrate	ALUMINIUM OXIDE	ChEMBL	20
221	8666	DRUG	Aluminium monostearate	aluminium monostearate	SORBITAN MONOSTEARATE	ChEMBL	20
222	118	DRUG	aluminum acetate	aluminum acetate	Aluminum Acetate	standard	150
223	119	DRUG	aluminum cation	aluminum cation	Aluminum Cation	standard	23
224	120	DRUG	aluminum hydroxide	aluminum hydroxide	Aluminum Hydroxide	NCI Thesaurus	44
225	6483	DRUG	aluminum hydroxide, magnesium hydroxide, simethicone drug combination	aluminum hydroxide, magnesium hydroxide, simethicone drug combination	aluminum hydroxide; magnesium hydroxide; simethicone	corrected_overlay	14
226	121	DRUG	aluminum sesquichlorohydrate	aluminum sesquichlorohydrate	Aluminum Sesquichlorohydrate	standard	25
227	122	DRUG	aluminum subacetate	aluminum subacetate	aluminum subacetate	corrected_overlay	14
228	123	DRUG	aluminum sulfate	aluminum sulfate	Aluminum Sulfate	standard	13
229	124	DRUG	alverine	alverine	Alverine	standard	58
230	8315	DRUG	Alvespimycin	alvespimycin	Alvespimycin	PubChem	60
231	125	DRUG	alvimopan	alvimopan	Alvimopan	standard	4
232	8100	DRUG	Alvocidib	alvocidib	Alvocidib	NCI Thesaurus	56
233	126	DRUG	amantadine	amantadine	Amantadine	standard	69
234	127	DRUG	ambenonium	ambenonium	Ambenonium	standard	27
235	128	DRUG	ambrisentan	ambrisentan	Ambrisentan	standard	4
236	129	DRUG	ambrosia artemisiifolia pollen	ambrosia artemisiifolia pollen	Ambrosia artemisiifolia Pollen	DailyMed	116
237	130	DRUG	ambroxol	ambroxol	Ambroxol	standard	5
238	131	DRUG	amcinonide	amcinonide	Amcinonide	standard	37
239	132	DRUG	amdinocillin	amdinocillin	Amdinocillin	standard	46
240	133	DRUG	amenamevir	amenamevir	Amenamevir	NCI Thesaurus	47
241	134	DRUG	american chestnut	american chestnut	American chestnut (Castanea dentata)	corrected_overlay	11
242	135	DRUG	amifampridine	amifampridine	3,4-Diaminopyridine	standard	4
243	136	DRUG	amifostine	amifostine	Amifostine	standard	59
244	137	DRUG	amikacin	amikacin	Amikacin	standard	63
