row_index	source_line	entity_type	entity	norm_entity	standard_name	description_source	description_words
197	3405	DISEASE	adrenal insufficiency	adrenal insufficiency	Adrenal Insufficiency	standard	32
198	3406	DISEASE	adrenocortical carcinoma	adrenocortical carcinoma	Adrenocortical Carcinoma	standard	45
199	6939	DISEASE	adrenocortical carcinoma, hereditary	adrenocortical carcinoma, hereditary	adrenocortical carcinoma, hereditary	modified_disease	41
200	3407	DISEASE	adrenocortical hyperfunction	adrenocortical hyperfunction	Adrenocortical Hyperfunction	standard	21
201	7968	DISEASE	adrenocortical hypofunction, chronic primary congenital	adrenocortical hypofunction, chronic primary congenital	adrenocortical hypofunction, chronic primary congenital	MONDO	16
202	3408	DISEASE	adrenocortical insufficiency	adrenocortical insufficiency	adrenocortical insufficiency	standard	56
203	3409	DISEASE	adult brainstem glioma	adult brainstem glioma	adult brainstem glioma	standard	9
204	3410	DISEASE	adult growth hormone deficiency	adult growth hormone deficiency	isolated growth hormone deficiency type IA	standard	45
205	8873	DISEASE	adult hypophosphatasia	adult hypophosphatasia	adult hypophosphatasia	MONDO	20
206	8546	DISEASE	adult Refsum disease	adult refsum disease	Charcot-Marie-Tooth disease type 5	MedGen	78
207	7969	DISEASE	ADULT syndrome	adult syndrome	ADULT syndrome	MONDO	34
208	6940	DISEASE	adult t-cell lymphoma/leukemia recurrent	adult t-cell lymphoma/leukemia recurrent	Recurrent Adult T-Cell Leukemia/Lymphoma	modified_disease	30
209	6941	DISEASE	adult-onset growth hormone deficiency (ao-ghd)	adult-onset growth hormone deficiency (ao-ghd)	Growth Hormone Deficiency	modified_disease	13
210	6942	DISEASE	adult-onset still disease	adult-onset still disease	Still's Disease, Adult-Onset	modified_disease	12
211	6943	DISEASE	advanced bladder cancer	advanced bladder cancer	urinary bladder cancer	modified_disease	16
212	6944	DISEASE	advanced breast cancer	advanced breast cancer	Breast Neoplasms	modified_disease	14
213	6945	DISEASE	advanced breast cancer in postmenopausal women	advanced breast cancer in postmenopausal women	Breast Neoplasms	modified_disease	16
214	6946	DISEASE	advanced gastric adenocarcinoma	advanced gastric adenocarcinoma	Advanced Gastric Adenocarcinoma	modified_disease	24
215	6947	DISEASE	advanced gastrointestinal stromal tumor	advanced gastrointestinal stromal tumor	Advanced Gastrointestinal Stromal Tumor	modified_disease	27
216	6948	DISEASE	advanced hepatocellular carcinoma	advanced hepatocellular carcinoma	Advanced Hepatocellular Carcinoma	modified_disease	25
217	6949	DISEASE	advanced ovarian carcinoma	advanced ovarian carcinoma	Advanced Ovarian Carcinoma	modified_disease	25
218	6950	DISEASE	advanced prostate cancer	advanced prostate cancer	prostate cancer	modified_disease	17
219	6951	DISEASE	advanced renal cell carcinoma	advanced renal cell carcinoma	Advanced Renal Cell Carcinoma	modified_disease	27
220	6952	DISEASE	advanced soft tissue sarcoma	advanced soft tissue sarcoma	Advanced Soft Tissue Sarcoma	modified_disease	28
221	3411	DISEASE	afibrinogenemia	afibrinogenemia	Afibrinogenemia	standard	9
222	3412	DISEASE	african trypanosomiasis	african trypanosomiasis	Trypanosomiasis, African	standard	52
223	3413	DISEASE	agammaglobulinemia	agammaglobulinemia	Agammaglobulinemia	standard	19
224	9335	DISEASE	AGAT deficiency	agat deficiency	AGAT deficiency	MONDO	22
225	3414	DISEASE	age related macular degeneration	age related macular degeneration	Macular Degeneration	standard	39
226	9168	DISEASE	age related macular degeneration 1	age related macular degeneration 1	age related macular degeneration 1	MONDO	16
227	9298	DISEASE	age related macular degeneration 10	age related macular degeneration 10	age related macular degeneration 10	MONDO	16
228	9311	DISEASE	age related macular degeneration 11	age related macular degeneration 11	age related macular degeneration 11	MONDO	18
229	9390	DISEASE	age related macular degeneration 12	age related macular degeneration 12	age related macular degeneration 12	MONDO	18
230	9483	DISEASE	age related macular degeneration 13	age related macular degeneration 13	age related macular degeneration 13	MONDO	25
231	9486	DISEASE	age related macular degeneration 14	age related macular degeneration 14	age related macular degeneration 14	MONDO	19
232	9499	DISEASE	age related macular degeneration 15	age related macular degeneration 15	age related macular degeneration 15	MONDO	25
233	7977	DISEASE	age related macular degeneration 2	age related macular degeneration 2	Age related macular degeneration 2	MedGen	74
234	9278	DISEASE	age related macular degeneration 4	age related macular degeneration 4	age related macular degeneration 4	MONDO	18
235	9388	DISEASE	age related macular degeneration 5	age related macular degeneration 5	age related macular degeneration 5	MONDO	25
236	9386	DISEASE	age related macular degeneration 6	age related macular degeneration 6	age related macular degeneration 6	MONDO	18
237	9260	DISEASE	age related macular degeneration 7	age related macular degeneration 7	age related macular degeneration 7	MONDO	18
238	9295	DISEASE	age related macular degeneration 9	age related macular degeneration 9	age related macular degeneration 9	MONDO	18
239	3415	DISEASE	age-related macular degeneration	age-related macular degeneration	Macular Degeneration	standard	39
240	3416	DISEASE	age-related memory impairment	age-related memory impairment	Memory Disorders	standard	38
241	3417	DISEASE	aggressive b-cell non-hodgkin lymphoma	aggressive b-cell non-hodgkin lymphoma	Aggressive B-Cell Non-Hodgkin Lymphoma	standard	31
242	3418	DISEASE	aggressive behavior	aggressive behavior	Aggressive behavior	standard	27
243	3419	DISEASE	aggressive systemic mastocytosis	aggressive systemic mastocytosis	Mastocytosis, Systemic	standard	49
244	3420	DISEASE	agitated depression	agitated depression	agitated depression	corrected_overlay	15
245	3421	DISEASE	agitation	agitation	Agitation	standard	54
246	3422	DISEASE	agitation and restlessness in the elderly	agitation and restlessness in the elderly	Agitation	standard	54
247	9508	DISEASE	agitation associated with alzheimer disease dementia	agitation associated with alzheimer disease dementia	agitation	standard	54
248	6953	DISEASE	agitation associated with schizophrenia or bipolar mania	agitation associated with schizophrenia or bipolar mania	Mania	modified_disease	33
249	3423	DISEASE	agoraphobia	agoraphobia	Agoraphobia	standard	16
250	3424	DISEASE	agranulocytosis	agranulocytosis	Agranulocytosis	standard	11
251	6387	DISEASE	aids	aids	Acquired Immunodeficiency Syndrome	alias_disease	59
252	3425	DISEASE	aids defining illness	aids defining illness	AIDS Defining Illness	standard	13
253	3426	DISEASE	aids related illness	aids related illness	AIDS related complex	standard	72
254	3427	DISEASE	aids-related disorder	aids-related disorder	AIDS-related disorder	standard	18
255	3428	DISEASE	aids-related kaposi's sarcoma	aids-related kaposi's sarcoma	AIDS-Related Kaposi Sarcoma	standard	27
256	3429	DISEASE	al amyloidosis	al amyloidosis	Immunoglobulin Light-chain Amyloidosis	standard	40
257	3430	DISEASE	alagille syndrome	alagille syndrome	Alagille Syndrome	standard	66
258	9094	DISEASE	Aland island eye disease	aland island eye disease	Aland island eye disease	MONDO	22
259	3431	DISEASE	albuminuria	albuminuria	Albuminuria	standard	12
260	3432	DISEASE	alcohol abuse	alcohol abuse	Alcoholism	standard	94
261	3433	DISEASE	alcohol dependence	alcohol dependence	Alcoholism	standard	94
262	9265	DISEASE	alcohol sensitivity, acute	alcohol sensitivity, acute	alcohol sensitivity, acute	MONDO	148
263	3434	DISEASE	alcohol withdrawal	alcohol withdrawal	Alcohol Withdrawal Seizures	standard	61
